feature,importance
cat__care_plan_following_discharge_Home Health; IV Antibiotics Completion; Follow-up Infectious Disease,7.022098662077502e-05
cat__care_plan_following_discharge_Cardiac Rehab; Medication Management; Home Health,6.964612171664444e-05
cat__care_plan_following_discharge_Follow-up Infectious Disease; Home Health,6.798463362851624e-05
cat__uniquepid_002-10357,6.726610319333424e-05
cat__care_plan_following_discharge_Home Health; Follow-up Cardiology; Medication Management,6.706569965523473e-05
cat__care_plan_following_discharge_Home O2 Therapy; Smoking Cessation,6.666490365446103e-05
cat__care_plan_following_discharge_Dietary Restriction; Fluid Management; Nephrology Follow-up,6.642968857798308e-05
cat__uniquepid_002-19218,6.627597386111676e-05
cat__care_plan_following_discharge_Addiction Counseling; Support Group,6.58816578327127e-05
cat__care_plan_following_discharge_Occupational Therapy; Physical Therapy; Speech Therapy,6.493223813035708e-05
cat__care_plan_following_discharge_Lifestyle Counseling; PCP Follow-up; Medication Review,6.372946144577818e-05
"cat__Condition_Neoplasm, neurologic",6.356894103681779e-05
cat__care_plan_following_discharge_Home Health; Cardiac Rehab; Medication Management,6.337777502088465e-05
cat__care_plan_following_discharge_Cardiac Rehab; Home Health; Medication Management,6.238965002811485e-05
cat__uniquepid_009-10167,6.157848888645593e-05
cat__care_plan_following_discharge_Wound Care; Home Health; IV Antibiotics Completion,6.154448907818295e-05
cat__care_plan_following_discharge_Physical Therapy; Wound Care,6.0551659312348284e-05
"cat__Condition_Monitoring, hemodynamic (pre-operative evaluation)",6.03014136022389e-05
"cat__Condition_GI medical, other",6.0300141104630884e-05
"cat__Condition_Genitourinary medical, other",5.971148602929708e-05
cat__uniquepid_002-1051,5.89490800358263e-05
cat__uniquepid_004-10805,5.875982317762439e-05
cat__Condition_Rhythm disturbance (conduction defect),5.862983089295854e-05
cat__uniquepid_008-10332,5.8152954855133555e-05
cat__Condition_Alcohol withdrawal,5.772045438048254e-05
cat__care_plan_following_discharge_Follow-up Cardiology; Cardiac Rehab,5.7705990324476854e-05
cat__uniquepid_007-10019,5.6087448036180815e-05
cat__Condition_Head only trauma,5.584942142524758e-05
cat__care_plan_following_discharge_Speech Therapy,5.5243428738531866e-05
cat__uniquepid_002-11766,5.504336872574727e-05
cat__ethnic_group_c_Hispanic or Latino,5.4907719692696566e-05
"cat__Condition_Efffusion, pericardial",5.4897633779139284e-05
"cat__Condition_Shock, cardiogenic",5.446670604165891e-05
cat__uniquepid_002-1018,5.386936664668975e-05
"cat__Condition_Vascular medical, other",5.377348713294197e-05
"cat__Condition_Thrombosis, vascular (deep vein)",5.355668413265885e-05
cat__Condition_Thrombectomy (with general anesthesia),5.350690164064016e-05
cat__Condition_Tricuspid valve surgery,5.272233416463642e-05
"cat__Condition_Respiratory surgery, other",5.212886430801523e-05
"cat__Condition_Neoplasm-spinal cord, surgery or other related procedures",5.199852516569555e-05
cat__uniquepid_009-10149,5.181203765845017e-05
cat__Condition_Amputation (non-traumatic),5.1725813729106954e-05
cat__Condition_Cystectomy for neoplasm,5.142856586521954e-05
cat__uniquepid_008-10102,5.101234908150683e-05
cat__uniquepid_002-13954,5.079323391940919e-05
cat__Condition_Renal infection/abscess,5.047873167811923e-05
cat__uniquepid_009-10050,5.040550296749474e-05
cat__care_plan_following_discharge_Home Health; Medication Management; Cardiac Rehab,5.001960567119361e-05
cat__Condition_Transphenoidal surgery,4.981740400239002e-05
"cat__Condition_Facial surgery (if related to trauma, see Trauma)",4.9769631920728754e-05
cat__uniquepid_002-10187,4.9494720630036524e-05
cat__Condition_Meningitis,4.925548763953206e-05
"cat__Condition_Cancer, stomach",4.90775182492185e-05
cat__care_plan_following_discharge_Dialysis Schedule,4.8773824665115264e-05
cat__uniquepid_003-10109,4.877340967315676e-05
cat__uniquepid_009-1071,4.838064881114153e-05
"cat__Condition_Sepsis, cutaneous/soft tissue",4.8246408389001644e-05
cat__uniquepid_002-14497,4.776057997619578e-05
cat__Condition_Burr hole placement,4.762045637571858e-05
cat__uniquepid_004-10342,4.733952078509233e-05
cat__care_plan_following_discharge_Follow-up Pulmonology; Pulmonary Rehab,4.718848154288275e-05
cat__care_plan_following_discharge_Physical Therapy; Pain Management,4.709031486829316e-05
cat__Condition_Cholangitis,4.6940244843389576e-05
cat__care_plan_following_discharge_Home O2 Therapy; Smoking Cessation; Follow-up Pulmonology,4.6741741851807996e-05
cat__uniquepid_002-13346,4.632008428347603e-05
"cat__Condition_Chest pain, atypical (noncardiac chest pain)",4.608389314047793e-05
cat__care_plan_following_discharge_Smoking Cessation; Home O2 Therapy,4.5854820781310605e-05
"cat__Condition_Hydrocephalus, obstructive",4.5844020517206596e-05
cat__care_plan_following_discharge_Dietary Modification; Pain Management; Surgical Follow-up,4.520515894165237e-05
cat__uniquepid_002-10556,4.4996276537795105e-05
"cat__Condition_Orthopedic surgery, other",4.489466213593997e-05
cat__care_plan_following_discharge_Medication Management; Cardiac Rehab; Follow-up Cardiology,4.473411849267079e-05
cat__uniquepid_003-14940,4.4594174176188616e-05
"cat__Condition_Infection/abscess, other surgery for",4.4365673229923e-05
cat__uniquepid_003-11560,4.416172589252062e-05
cat__care_plan_following_discharge_Follow-up Neurology; Speech Therapy,4.397059093415442e-05
cat__uniquepid_002-14511,4.3897094569323174e-05
cat__Condition_Gastrostomy,4.288446264150308e-05
cat__care_plan_following_discharge_IV Antibiotics Completion; Follow-up Infectious Disease,4.2683639132480594e-05
cat__uniquepid_002-16095,4.2291959253015926e-05
cat__care_plan_following_discharge_IV Antibiotics Completion; Wound Care,4.2160798163589403e-05
"cat__Condition_GI obstruction, surgery for (including lysis of adhesions)",4.162912652201028e-05
"cat__Condition_Cellulitis and localized soft tissue infections, surgery for",4.157584771160813e-05
"cat__Condition_Cancer, pancreatic",4.0860189703774586e-05
"cat__Condition_Thrombus, arterial",4.067210130210935e-05
cat__Condition_Subarachnoid hemorrhage/intracranial aneurysm,4.0611835679879424e-05
"cat__Condition_GI surgery, other",3.970580314376523e-05
cat__uniquepid_007-10234,3.959327533280327e-05
"cat__Condition_Obstruction/other, surgery for (with or without ileal conduit)",3.9350928854073424e-05
cat__Condition_Seizures (primary-no structural brain disease),3.9192355310844644e-05
"cat__Condition_Aneurysms, repair of other (except ventricular)",3.846264344514814e-05
cat__care_plan_following_discharge_Medication Management; Follow-up Cardiology; Cardiac Rehab,3.82408828864564e-05
"cat__Condition_Complications of previous open-heart surgery, surgery for (i.e. bleeding, infection, mediastinal rewiring,leaking aortic graft etc.)",3.7810104201399766e-05
cat__care_plan_following_discharge_Nutrition Support,3.775689983312216e-05
cat__care_plan_following_discharge_Follow-up Pulmonology; Smoking Cessation; Home O2 Therapy,3.654911888436086e-05
cat__uniquepid_002-12868,3.637110770504022e-05
cat__care_plan_following_discharge_Home O2 Therapy; Follow-up Pulmonology; Smoking Cessation,3.631031532997259e-05
cat__Condition_Chest/pelvis trauma,3.593500254355471e-05
cat__uniquepid_002-10686,3.515720105439069e-05
cat__uniquepid_007-11066,3.510553368277571e-05
cat__Condition_Heart transplant,3.461937765203675e-05
"cat__Condition_Tamponade, pericardial",3.426185168279691e-05
cat__uniquepid_002-17248,3.413113261508486e-05
cat__care_plan_following_discharge_Follow-up Infectious Disease; IV Antibiotics Completion; Home Health,3.3545873502691895e-05
"cat__Condition_Overdose, analgesic (aspirin, acetaminophen)",3.3114978558358275e-05
"cat__Condition_Overdose, sedatives, hypnotics, antipsychotics, benzodiazepines",3.220864805794804e-05
cat__care_plan_following_discharge_Cardiac Rehab; Follow-up Cardiology; Home Health,3.1944652904148204e-05
cat__uniquepid_007-10333,3.113199134653363e-05
cat__care_plan_following_discharge_Speech Therapy; Follow-up Neurology; Physical Therapy,3.086522784111973e-05
cat__uniquepid_002-10665,3.0778347946394444e-05
"cat__Condition_Chest pain, epigastric",3.06317403593462e-05
cat__care_plan_following_discharge_Wound Care; Home Health,3.048767713900119e-05
cat__care_plan_following_discharge_Pulmonary Rehab; Follow-up Pulmonology,3.0295404838152134e-05
cat__care_plan_following_discharge_Smoking Cessation; Pulmonary Rehab; Follow-up Pulmonology,3.0178014146379914e-05
cat__care_plan_following_discharge_Home O2 Therapy; Follow-up Pulmonology; Pulmonary Rehab,3.0024679982399122e-05
cat__Condition_Abdomen only trauma,2.9871086473556183e-05
